case,method,grid_or_nodes,cumulative_seconds,lower,upper,width
ties0,price8.0,57,1.9210129120000374,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price8.0,59,1.9894084880000378,1.0573763483922334,1.0748499933747566,0.01747364498252332
ties0,price8.0,61,2.0564974800000186,1.0573763483922334,1.0748499933747566,0.01747364498252332
ties0,price8.0,63,2.1232707380000306,1.0573961625052266,1.0748499933747566,0.01745383086953008
ties0,price8.0,65,2.1906963560000463,1.0573961625052266,1.0748499933747566,0.01745383086953008
ties0,price8.0,67,2.257701972999996,1.057396162507328,1.0748499933747566,0.017453830867428705
ties0,price8.0,69,2.324758667000026,1.057396162507328,1.0748499933747566,0.017453830867428705
ties0,price8.0,71,2.3951788760000454,1.057396162507328,1.0748499933747566,0.017453830867428705
ties0,price8.0,73,2.4309544050000227,1.057396162507328,1.0748499933747566,0.017453830867428705
ties0,price8.0,75,2.4992383530000097,1.057396162507328,1.0748499933747566,0.017453830867428705
ties0,price8.0,77,2.5688643580000416,1.057396162507328,1.0748499933747566,0.017453830867428705
ties0,price8.0,79,2.6360870820000173,1.0573961625073505,1.0748499933747566,0.01745383086740619
ties0,price8.0,81,2.7048802950000095,1.057485835183274,1.0748499933747566,0.017364158191482713
ties0,price8.0,83,2.7756598740000413,1.057485835183274,1.0748499933747566,0.017364158191482713
ties0,price8.0,85,2.8457591310000225,1.057485835183274,1.0748499933747566,0.017364158191482713
ties0,price8.0,87,2.914931655000032,1.057485835183274,1.0748499933747566,0.017364158191482713
ties0,price8.0,89,2.9847850220000396,1.058169466580518,1.0748499933747566,0.01668052679423888
ties0,price8.0,91,3.052372293000019,1.058169466580518,1.0748499933747566,0.01668052679423888
ties0,price8.0,93,3.1189459510000006,1.0581732391095844,1.0748499933747566,0.016676754265172428
ties0,price8.0,95,3.1869317510000315,1.0581732391098326,1.0748499933747566,0.016676754264924116
ties0,price8.0,97,3.254073723000033,1.0581831461666789,1.0748499933747566,0.016666847208077894
ties0,price8.0,99,3.3217319710000197,1.0581831461666789,1.0748499933747566,0.016666847208077894
ties0,price8.0,101,3.3572890920000305,1.0581831461666789,1.0748499933747566,0.016666847208077894
ties0,price8.0,103,3.4236819580000315,1.0581831461666789,1.0748499933747566,0.016666847208077894
ties0,price8.0,105,3.4916070470000022,1.0581831461666789,1.0748499933747566,0.016666847208077894
ties0,price8.0,107,3.55989213700002,1.0581912958030062,1.0748499933747566,0.016658697571750605
ties0,price8.0,109,3.5964816489999976,1.0581912958031947,1.0748499933747566,0.016658697571562013
ties0,price8.0,111,3.6657280640000067,1.0582532540346135,1.0748499933747566,0.01659673934014322
ties0,price8.0,113,3.7367662620000033,1.0582532540346135,1.0748499933747566,0.01659673934014322
ties0,price8.0,115,3.8092630620000136,1.0582574767323292,1.0748499933747566,0.01659251664242747
ties0,price8.0,117,3.9069632820000493,1.0582574767323292,1.0748499933747566,0.01659251664242747
ties0,price8.0,119,3.9769579510000312,1.058257476732354,1.0748499933747566,0.016592516642402782
ties0,price8.0,121,4.049214680000034,1.058257476732354,1.0748499933747566,0.016592516642402782
ties0,price8.0,123,4.1191368210000405,1.0582574767324173,1.0748499933747566,0.016592516642339305
ties0,price8.0,125,4.190543743000035,1.0582574767324173,1.0748499933747566,0.016592516642339305
ties0,price8.0,127,4.260431320999999,1.0582645202270042,1.0748499933747566,0.016585473147752574
ties0,price8.0,129,4.331141185000035,1.0582651327046502,1.0748499933747566,0.016584860670106446
ties0,price8.0,131,4.401490848000037,1.0582651327046502,1.0748499933747566,0.016584860670106446
ties0,price8.0,133,4.472786774000042,1.0582651327046502,1.0748499933747566,0.016584860670106446
ties0,price8.0,135,4.545284695000021,1.058270049425472,1.0748499933747566,0.016579943949284633
ties0,price8.0,137,4.616421752000008,1.0583076128249176,1.0748499933747566,0.01654238054983922
ties0,price8.0,139,4.689007415000049,1.058462925308412,1.0748499933747566,0.01638706806634478
